"Abelsonite","NiC_31_H_32_N_4_","","",""
"Abenakiite-(Ce)","Na_26_Ce_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O","","",""
"Abernathyite","K(UO_2_)AsO_4_·3H_2_O","","",""
"Abhurite","Sn^2+^_21_Cl_16_(OH)_14_O_6_","","",""
"Abswurmbachite","Cu^2+^Mn^3+^_6_O_8_(SiO_4_)","","",""
"Acanthite","Ag_2_S","","",""
"Acetamide","CH_3_CONH_2_","","",""
"Actinolite","Ca_2_(Mg,Fe^2+^)_5_Si_8_O_22_(OH)_2_","","",""
"Acuminite","SrAlF_4_(OH)·H_2_O","","",""
"Adamite","Zn_2_AsO_4_(OH)","","",""
"Adamsite-(Y)","NaY(CO_3_)_2_·6H_2_O","","",""
"Adelite","CaMgAsO_4_(OH)","","",""
"Admontite","MgB_6_O_7_(OH)_6_·4H_2_O","","",""
"Aegirine","NaFe^3+^Si_2_O_6_","","",""
"Aenigmatite","Na_4_(Fe^2+^_10_Ti_2_)O_4_[Si_12_O_36_]","","",""
"Aerinite","(Ca_5.1_Na_0.5_)(Fe^3+^,Al,Fe^2+^,Mg)_4_(Al,Mg)_6_[HSi_12_O_36_(OH)_12_][(CO_3_)_1.2_(H_2_O)_12_]","","",""
"Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","","",""
"Aeschynite-(Nd)","Nd(Ti,Nb)_2_(O,OH)_6_","","",""
"Aeschynite-(Y)","(Y,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","","",""
"Afghanite","Na_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","","",""
"Afwillite","Ca_3_(SiO_3_)_2_(OH)_2_·2H_2_O","","",""
"Agardite-(Ce)","Cu^2+^_6_Ce(AsO_4_)_3_(OH)_6_·3H_2_O","","",""
"Agardite-(La)","Cu^2+^_6_La(AsO_4_)_3_(OH)_6_·3H_2_O","","",""
"Agardite-(Nd)","Cu^2+^_6_Nd(AsO_4_)_3_(OH)_6_·3H_2_O","","",""
"Agardite-(Y)","Cu^2+^_6_Y(AsO_4_)_3_(OH)_6_·3H_2_O","","",""
"Agrellite","NaCa_2_Si_4_O_10_F","","",""
"Agrinierite","K_2_Ca(UO_2_)_6_O_6_(OH)_4_·5H_2_O","","",""
"Aheylite","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","","",""
"Ahlfeldite","NiSe^4+^O_3_·2H_2_O","","",""
"Aikinite","CuPbBiS_3_","","",""
"Ajoite","Na_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","","",""
"Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","","",""
"Akatoreite","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","","",""
"Akdalaite","(Al_2_O_3_)_4-5_·H_2_O","","",""
"Akermanite","Ca_2_MgSi_2_O_7_","","",""
"Akhtenskite","MnO_2_","","",""
"Akimotoite","MgSiO_3_","","",""
"Akrochordite","Mn^2+^_5_(AsO_4_)_2_(OH)_4_·4H_2_O","","",""
"Aksaite","MgB_6_O_7_(OH)_6_·2H_2_O","","",""
"Alabandite","Mn^2+^S","","",""
"Alacranite","As_8_S_9_","","",""
"Alamosite","PbSiO_3_","","",""
"Alarsite","AlAsO_4_","","",""
"Albite","NaAlSi_3_O_8_","","",""
"Albrechtschraufite","Ca_4_Mg(UO_2_)_2_(CO_3_)_6_F_2_·17H_2_O","","",""
"Aldermanite","Mg_5_Al_12_(PO_4_)_8_(OH)_22_·32H_2_O","","",""
"Alforsite","Ba_5_(PO_4_)_3_Cl","","",""
"Algodonite","Cu_1-x_As_x_; x = 1/7","","",""
"Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","","",""
"Allabogdanite","(Fe,Ni)_2_P","","",""
"Allanite-(Ce)","CaCeFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)","","",""
